名称,発生場所,発生年月日,当事者種別,事故内容,事故類型,所轄警察署,経度,緯度
全事故,米子市車尾六丁目,2014/9/18,軽乗用×軽乗用×普通乗用,軽傷事故,車両相互,米子署,133.3644744,35.4315859
全事故,鳥取市美和,2014/10/4,軽乗用×普通乗用,重傷事故,車両相互,鳥取署,134.2318455,35.45616038
全事故,米子市明治町,2014/11/5,軽乗用×歩行者,重傷事故,人対車両,米子署,133.3356156,35.42346425
全事故,米子市東福原一丁目,2014/11/15,軽乗用×自転車,軽傷事故,車両相互,米子署,133.3480359,35.43512827
全事故,米子市西福原一丁目,2014/11/20,軽乗用×自転車,軽傷事故,車両相互,米子署,133.3379135,35.44084224
全事故,米子市福市,2014/11/23,軽乗用×普通乗用,軽傷事故,車両相互,米子署,133.367092,35.40493366
全事故,米子市両三柳,2014/11/28,軽乗用×普通貨物,軽傷事故,車両相互,米子署,133.335409,35.45672493
全事故,鳥取市気高町浜村,2014/12/1,大型貨物×普通乗用,軽傷事故,車両相互,浜村署,134.0558971,35.51839542
全事故,鳥取市扇町,2014/12/4,普通乗用×歩行者,重傷事故,人対車両,鳥取署,134.2241808,35.4933185
全事故,米子市祇園町二丁目,2014/12/4,普通乗用×軽乗用,軽傷事故,車両相互,米子署,133.3237068,35.41898034
全事故,米子市一部,2014/12/5,普通乗用×軽乗用,軽傷事故,車両相互,米子署,133.3968865,35.40608864
全事故,西伯郡大山町國信,2014/12/7,普通乗用×自転車,重傷事故,車両相互,八橋署,133.4571771,35.48480752
全事故,鳥取市永楽温泉町,2014/12/8,普通貨物×歩行者,軽傷事故,人対車両,鳥取署,134.2287626,35.49478086
全事故,八頭郡八頭町宮谷,2014/12/8,普通乗用×歩行者,軽傷事故,人対車両,郡家署,134.2556445,35.41517974
全事故,倉吉市国府,2014/12/11,当事者不明×軽乗用,軽傷事故,車両相互,倉吉署,133.762873,35.43037614
全事故,米子市久米町,2014/12/11,軽乗用×軽乗用,軽傷事故,車両相互,米子署,133.3267473,35.42539168
全事故,米子市皆生新田二丁目,2014/12/12,軽乗用×歩行者,重傷事故,人対車両,米子署,133.365729,35.45218497
全事故,米子市車尾六丁目,2014/12/16,普通乗用×軽乗用,軽傷事故,車両相互,米子署,133.3644503,35.43153454
全事故,米子市一部,2014/12/16,軽乗用×軽乗用,軽傷事故,車両相互,米子署,133.3945468,35.40860583
全事故,鳥取市秋里,2014/12/17,普通貨物×軽乗用,軽傷事故,車両相互,鳥取署,134.2136875,35.52095028
全事故,西伯郡南部町阿賀,2014/12/17,軽乗用×普通乗用,軽傷事故,車両相互,米子署,133.330524,35.359015
全事故,米子市西福原二丁目,2014/12/19,軽乗用×普通乗用,軽傷事故,車両相互,米子署,133.3377636,35.4410399
全事故,米子市新開七丁目,2014/12/20,軽乗用×軽乗用,軽傷事故,車両相互,米子署,133.3398789,35.45991941
全事故,米子市米原五丁目,2014/12/22,普通乗用×普通乗用,軽傷事故,車両相互,米子署,133.3303959,35.44318814
全事故,鳥取市商栄町,2014/12/24,普通乗用×軽乗用,軽傷事故,車両相互,鳥取署,134.2061402,35.51292484
全事故,鳥取市気高町北浜2丁目,2014/12/25,軽乗用×軽乗用,軽傷事故,車両相互,浜村署,134.045302,35.51794253
全事故,鳥取市徳尾,2014/12/26,普通乗用×大型貨物,軽傷事故,車両相互,鳥取署,134.2013925,35.50220701
全事故,倉吉市広瀬町,2014/12/26,普通乗用×普通乗用,軽傷事故,車両相互,倉吉署,133.8136342,35.43142179
全事故,倉吉市山根,2014/12/26,軽乗用×軽貨物×軽貨物,軽傷事故,車両相互,倉吉署,133.8595433,35.4530488
全事故,米子市皆生四丁目,2014/12/26,軽乗用×軽乗用,軽傷事故,車両相互,米子署,133.3639063,35.44911991
全事故,米子市角盤町一丁目,2014/12/26,軽乗用×軽乗用,軽傷事故,車両相互,米子署,133.3322884,35.43166525
全事故,鳥取市富安2丁目,2014/12/27,普通乗用×自転車,重傷事故,車両相互,鳥取署,134.2276599,35.49276533
全事故,米子市東町,2014/12/28,軽乗用×軽乗用,軽傷事故,車両相互,米子署,133.3312787,35.42593576
全事故,鳥取市吉成1丁目,2014/12/29,普通乗用×普通乗用,軽傷事故,車両相互,鳥取署,134.2209311,35.4852914
全事故,鳥取市若葉台南2丁目,2014/12/29,普通乗用×軽乗用,軽傷事故,車両相互,鳥取署,134.2623432,35.44721411
全事故,米子市旗ヶ崎二丁目,2014/12/29,普通乗用×普通乗用,軽傷事故,車両相互,米子署,133.3180542,35.43657199
全事故,鳥取市祢宜谷,2014/12/30,軽貨物×自転車,軽傷事故,車両相互,鳥取署,134.2569117,35.4372059
全事故,米子市旗ヶ崎九丁目,2014/12/30,軽乗用×普通乗用,重傷事故,車両相互,米子署,133.3076103,35.44506936
全事故,鳥取市賀露町南２丁目,2014/12/31,普通乗用×軽乗用,軽傷事故,車両相互,鳥取署,134.1835383,35.52486396
全事故,鳥取市伏野,2015/1/1,普通乗用×普通乗用,軽傷事故,車両相互,鳥取署,134.1381241,35.52677231
全事故,鳥取市田島,2015/1/1,普通乗用×軽乗用,軽傷事故,車両相互,鳥取署,134.2225675,35.511526
全事故,鳥取市気高町八束水,2015/1/1,軽貨物×軽乗用,軽傷事故,車両相互,浜村署,134.0349902,35.51764926
全事故,米子市陰田町,2015/1/1,軽乗用×普通乗用,軽傷事故,車両相互,米子署,133.326528,35.40831924
全事故,日野郡日南町豊栄,2015/1/2,軽乗用×普通乗用,軽傷事故,車両相互,黒坂署,133.2447821,35.09355099
全事故,鳥取市古海,2015/1/3,軽乗用×軽乗用,軽傷事故,車両相互,鳥取署,134.2040461,35.49049515
全事故,境港市幸神町,2015/1/4,普通乗用×普通乗用,軽傷事故,車両相互,境港署,133.2403603,35.50485485
全事故,米子市西福原六丁目,2015/1/5,普通乗用×普通乗用,軽傷事故,車両相互,米子署,133.3390722,35.44766644
全事故,西伯郡伯耆町大殿,2015/1/5,軽乗用×軽乗用×軽乗用,軽傷事故,車両相互,黒坂署,133.3986908,35.38756706
全事故,倉吉市駄経寺町２丁目,2015/1/6,軽乗用×普通乗用,軽傷事故,車両相互,倉吉署,133.8384837,35.42960736
全事故,米子市日ノ出町一丁目,2015/1/6,軽貨物×軽乗用,軽傷事故,車両相互,米子署,133.3396631,35.43780418
全事故,東伯郡琴浦町八橋,2015/1/7,軽乗用×普通乗用,軽傷事故,車両相互,八橋署,133.6811958,35.50379014
全事故,鳥取市湖山町東３丁目,2015/1/8,軽乗用×軽乗用,軽傷事故,車両相互,鳥取署,134.1905982,35.51715657
全事故,東伯郡北栄町東園,2015/1/8,大型貨物×大型貨物×普通乗用,死亡事故,車両相互,倉吉署,133.7896567,35.49844892
